"REGION","ISLAND","ANALYSIS_SEC","OBS_YEAR","GENUS_CODE","Mean_JuvColDen_cm2","SE_JuvColDen_cm2","N.JCD","SEC_YEAR","COVER","SE.COVER","N.COVER","P_COVER","SE.P_COVER","meanPropRec","Mean_JuvColDenP","SE_JuvColDenP","N.JCDp","SD_JuvColDenP","SD.P_COVER","MN.RecVal","SE.RecVal","N.RecVal","CI95.RecVal","LOW_CI95.RecVal","HIGH_CI95.RecVal"
"MHI","Maui","MAI_NE",2016,"POSP",0.000225,2.49932551e-05,2,"MAI_NE-2016",1.933388557,0.220920829595912,55,0.01933388557,0.00220920829595912,0.497792207792208,0.000112003246753247,1.24414476361429e-05,2,1.75948639825879e-05,0.0163839272221712,0.00579310590971118,0.000923192217098302,2,0.00180945674551267,0.00398364916419851,0.00760256265522385
"MHI","Maui","MAI_NE",2016,"SSSS",0.000875,0.0001249662755,2,"MAI_NE-2016",5.629621763,1.815626193,11,0.05629621763,0.01815626193,0.650079365079365,0.000568819444444444,8.1237997033373e-05,2,0.000114887877184621,0.060217508417224,0.0101040437242683,0.00356390386287901,2,0.00698525157124286,0.00311879215302545,0.0170892952955112
"MHI","Oahu","OAH_NE",2016,"MOSP",0.0002920891048,6.27670441e-05,4,"OAH_NE-2016",6.709781803,1.0107574372495,64,0.06709781803,0.010107574372495,0.666666666666667,0.000194726069866667,4.18446960666667e-05,4,8.36893921333333e-05,0.0808605949799596,0.00290212223860399,0.000761606466413406,4,0.00149274867417028,0.00140937356443371,0.00439487091277426
"MHI","Oahu","OAH_NE",2016,"POCS",6.77967945e-05,2.78005951e-05,4,"OAH_NE-2016",1.401365869,0.394652968,16,0.01401365869,0.00394652968,0.958333333333333,6.49719280625e-05,2.66422369708333e-05,4,5.32844739416667e-05,0.01578611872,0.00463632870614034,0.00230634513600021,4,0.00452043646656042,0.000115892239579918,0.00915676517270076
"MHI","Oahu","OAH_NE",2016,"POSP",0.0002176541688,4.74477506e-05,4,"OAH_NE-2016",7.744363999,0.575378149800043,80,0.07744363999,0.00575378149800043,0.497792207792208,0.00010834654922213,2.3619120525948e-05,4,4.72382410518961e-05,0.0514633862288381,0.0013990374062495,0.000322210894838266,4,0.000631533353883002,0.000767504052366501,0.0020305707601325
"MHI","Oahu","OAH_NE",2016,"SSSS",0.0005953368627,8.79824351e-05,4,"OAH_NE-2016",16.08176373,3.528634259,16,0.1608176373,0.03528634259,0.650079365079365,0.000387016209712357,5.71955655479444e-05,4,0.000114391131095889,0.14114537036,0.00240655326250311,0.000636646423553573,4,0.001247826990165,0.00115872627233811,0.00365438025266812
"MHI","Maui","MAI_NE",2019,"MOSP",0.0003791666667,4.58209677e-05,2,"MAI_NE-2019",0.074348085,0.0214882268880114,48,0.00074348085,0.000214882268880114,0.666666666666667,0.0002527777778,3.05473118e-05,2,4.32004226415997e-05,0.00148874802938414,0.339992318295757,0.106509100874971,2,0.208757837714942,0.131234480580815,0.548750156010699
"MHI","Maui","MAI_NE",2019,"POCS",3.33333334e-05,3.33243401e-05,2,"MAI_NE-2019",1.217386217,0.24280767,12,0.01217386217,0.0024280767,0.958333333333333,3.19444445083333e-05,3.19358259291667e-05,2,4.51640781546138e-05,0.00841110441814835,0.00262401890724982,0.00267500777582271,2,0.00524301524061252,-0.0026189963333627,0.00786703414786234
"MHI","Maui","MAI_NE",2019,"POSP",0.0002166666667,0.0001166351904,2,"MAI_NE-2019",0.717690199,0.0750228537112276,60,0.00717690199,0.000750228537112276,0.497792207792208,0.000107854978371571,5.80600889354805e-05,2,8.21093652051446e-05,0.0058112452601708,0.0150280690083064,0.00824097027891459,2,0.0161523017466726,-0.0011242327383662,0.031180370754979
"MHI","Maui","MAI_NE",2019,"SSSS",0.0006291666667,0.0001041385629,2,"MAI_NE-2019",2.032996738,0.330717403,12,0.02032996738,0.00330717403,0.650079365079365,0.000409008267217436,6.76983308503095e-05,2,9.57398976385286e-05,0.0114563868988646,0.0201184910714518,0.00466902417282585,2,0.00915128737873867,0.0109672036927131,0.0292697784501905
"MHI","Oahu","OAH_NE",2019,"MOSP",0.001415837479,0.0004924046443,4,"OAH_NE-2019",4.687311164,1.16177191216794,60,0.04687311164,0.0116177191216794,0.666666666666667,0.000943891652666667,0.000328269762866667,4,0.000656539525733333,0.0899904653583596,0.0201371664829091,0.00859989429103668,4,0.0168557928104319,0.00328137367247725,0.0369929592933411
"MHI","Oahu","OAH_NE",2019,"POCS",0.0001858721742,5.02051478e-05,4,"OAH_NE-2019",1.471438093,0.189017435,15,0.01471438093,0.00189017435,0.958333333333333,0.000178127500275,4.81132666416667e-05,4,9.62265332833334e-05,0.00732061377897843,0.0121056741104092,0.00362076017972737,4,0.00709668995226564,0.00500898415814357,0.0192023640626749
"MHI","Oahu","OAH_NE",2019,"POSP",0.0005216407,0.000218653985,4,"OAH_NE-2019",4.153596956,0.408408498773161,75,0.04153596956,0.00408408498773161,0.497792207792208,0.000259668675727273,0.000108844249935714,4,0.000217688499871429,0.0353692135059023,0.00625165798410395,0.0026916138026524,4,0.00527556305319871,0.000976094930905242,0.0115272210373027
"MHI","Oahu","OAH_NE",2019,"SSSS",0.002165422885,0.0007050442025,4,"OAH_NE-2019",10.43038294,3.517102556,15,0.1043038294,0.03517102556,0.650079365079365,0.00140769673420913,0.000458334687514087,4,0.000916669375028175,0.136216796262915,0.0134961174705358,0.00632610235017286,4,0.0123991606063388,0.00109695686419701,0.0258952780768746
